
# ---- AI compute_power constants (file 0x254E9-0x2589B) ----
# ---- AI weapon selection ----
# ---- C runtime (seg 0015/0016) ----
# ---- Command-line argument parsing ----
# ---- Data segment variables (DS: prefix) ----
# ---- Dialog system (seg 3F19 in emu) ----
# ---- Dialog/widget system (seg 3F89 = file 0x45B19+) ----
# ---- Explosion terrain erase/scorch ----
# ---- Falling tank / impact damage system ----
# ---- Fastgraph VGA primitives (seg 3DDE) ----
# ---- Fastgraph drawing library (seg 3CE0) ----
# ---- Fastgraph vtable init (populates DS:EEF4-EF18 from gfx mode entry) ----
# ---- Font module (seg 4589) ----
# ---- Guidance System constants ----
# ---- Input System ----
# ---- Keyboard ISR (installed as INT 09h) ----
# ---- Known functions (file offsets) ----
# ---- Market system (SCORCH.MKT) ----
# ---- Menu module (34ED) ----
0x43080,show_no_kibitzing
0x4304B,draw_no_kibitzing_text
DS:0x231C,PTR_NO_KIBITZING,data/farptr
# ---- Module entry points (code segment starts) ----
# ---- Physics runtime DS variables (set by setup_physics_constants, used by sim_step) ----
# ---- Play Modes (play.cpp) ----
# ---- Play Order System (player.cpp) ----
# ---- Round-over / Game-over display ----
# ---- SCORCH.PCX background image ----
# ---- Score System (score.cpp, seg 0x30B2) ----
# ---- Sound System ----
# ---- Talk system (comments.cpp, seg 0x1144) ----
# ---- Tank rendering DS vars (icons.cpp) ----
# ---- Terrain generation (ranges.cpp) ----
# ---- Timer ISR (installed as INT 08h) ----
# ---- Widget init (seg 4557 = 34ED overflow) ----
# ---- icons.cpp geometry functions ----
# ---- shark.cpp AI targeting helpers ----
# Dialog button widget creation (auto-width+height)
# File offsets are hex (0x prefix optional). DS: prefix means data segment offset.
# Format: file_offset_hex,name   OR   DS:offset_hex,name
# Shop item list state variables (DS)
# Shop right-panel button functions
# labels.csv — Scorched Earth v1.50 address labels
0x010C81,fg_sound_on
0x010CB1,fg_sound_off
0x06B5A,_exit
0x10557,fg_readkey
0x10693,fg_kbhit
0x14391,apply_viscosity2
0x14924,buy_weapon
0x14CC4,shop_cat_list_build
0x14E34,shop_palette_tick
0x14FF8,shop_update_callback
0x1518A,shop_inventory_callback
0x1580D,shop_paint_callback
0x15AF6,shopDialogBuild
0x16219,shop_list_row_init
0x16826,shop_list_render
0x16A7E,cash_display
0x16D3A,cash_display_per_player
0x16EF8,interest_display_per_player
0x172C8,get_player_cash
0x1736E,get_player_interest
0x17E49,alloc_talk_struct
0x17E8D,free_talk_data
0x17F09,get_random_line
0x17F50,load_talk_file
0x18107,load_talk_files
0x18155,show_die_comment
0x181A1,show_attack_comment
0x1826C,draw_border
0x182FD,display_talk_bubble
0x18433,talk_delay
0x184A7,CommentGenerator
0x184E5,free_all_talk
0x18852,turn_set_deploy_threshold_default
0x18872,turn_set_deploy_threshold_battery
0x1900C,ai_auto_select_weapon
0x19455,read_config_file
0x19B54,viscosity_clamp
0x1D57B,find_weapon_by_name
0x1D5D4,equip_init
0x1D8EA,play_sync_fire_phase
0x1DBB5,shop_screen
0x1DCA4,ai_shop_random_action
0x1DF4D,ai_shop_jump_table
0x1DF65,ai_shop_thinking_anim
0x1E0F3,ai_buy_shields
0x1E3CB,ai_sell_dialog
0x202F6,check_deploy
0x205DC,handle_falling_tanks
0x20626,parachute_half_speed_check
0x20690,pixel_scan_loop
0x2071C,crush_threshold_check
0x207B3,crush_landing_flag_set
0x207CB,glancing_contact_check
0x208CD,parachute_deploy_check
0x208EA,parachute_deploy_action
0x20913,parachute_set_deployed
0x20A41,fall_damage_per_step
0x20A8F,parachute_fall_delay
0x20AE4,fall_damage_on_impact
0x20B09,crush_check_victim_ptr
0x20B4C,crush_damage_to_victim
0x20B8C,crush_self_damage
0x20EA0,extras_start
0x20EAD,extras_init
0x20F63,get_mips_count
0x21064,setup_physics_constants
0x21192,fire_weapon
0x2120A,weapon_fire_dispatch
0x21397,set_damage_type_for_leapfrog
0x21603,create_projectile
0x21A80,sim_step
0x21C56,apply_viscosity
0x21EFD,wall_bounce_coeff_select
0x22140,wall_random_resolve
0x2220F,wall_type_dispatch
0x2251A,mag_deflector_collision_check
0x2253A,mag_deflector_apply_damping
0x23298,outer_sim_loop
0x246E0,funky_bomb_handler
0x2476B,draw_explosion_expanding
0x247BA,sound_impact_random_tone
0x24894,funky_bomb_spawn_sub_bombs
0x24CBF,terrain_hit_traversal_func
0x24CE4,terrain_hit_freq_init_1000
0x24DCD,sound_terrain_hit_rising
0x24F01,ai_solver_start
0x254E9,ai_compute_power
0x2589C,ai_wind_correction
0x25B30,apogee_detect
0x25DE9,ai_inject_noise
0x26110,icon_internal_renderer
0x261D7,draw_icon_alive
0x26245,draw_icon_dead
0x262B3,draw_icon_blank
0x263F0,icons_start
0x2640F,compute_distance
0x26491,find_nearest_player
0x26527,draw_tank_turret
0x273D9,dialog_validate_all_names
0x28592,setup_player_palette
0x28866,swap_input_callback
0x288A0,set_input_mode
0x2898E,keyboard_isr
0x28B31,get_key_input
0x28C0B,poll_input_wrapper
0x28C53,init_keyboard
0x28DA4,draw_wind_pixel
0x28E43,wind_text_pixel_callback
0x28E99,update_wind
0x28F1D,draw_wind_indicator
0x29280,play_ai_type_dispatch
0x2943A,generate_wind
0x29505,set_ai_type_palette_color
0x29564,spoiler_random_noise_setup
0x29720,drawColumn
0x29808,height_random_walk
0x2A226,bounce_handler
0x2A42D,parse_cmdline_and_init
0x2A630,ui_color_init
0x2A850,call_main_menu
0x2A95A,round_over_cleanup
0x2AE53,play_order_init
0x2AE77,play_order_case0_random
0x2AF29,play_order_case1_losers_first
0x2B03B,play_order_case2_winners_first
0x2B0BB,play_order_case3_round_robin
0x2B4A8,setup_explosion_scale
0x2B80A,mkt_init_defaults
0x2B873,mkt_load
0x2BA52,mkt_save
0x2BB5E,mkt_update
0x2BCC3,terrain_scorch_pixel
0x2BD07,terrain_scorch_column
0x2BD89,terrain_scorch_ring
0x2C759,sub_warhead_damage
0x2CB6B,sub_warhead_spawn
0x2D860,napalm_handler
